Date : 2026-01-05 14:56:42
Directory : c:\projectedit2\Gretex music Room
Total : 266 files,  56703 codes, 1472 comments, 8810 blanks, all 66985 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |         96 |     23,543 |          0 |      6,207 |     29,750 |
| JSON               |          6 |     15,849 |          0 |          9 |     15,858 |
| TypeScript JSX     |         46 |      7,860 |        218 |        772 |      8,850 |
| JavaScript         |         65 |      6,452 |        633 |      1,254 |      8,339 |
| TypeScript         |         32 |      2,471 |        428 |        432 |      3,331 |
| Groovy             |          3 |        145 |         69 |         34 |        248 |
| PowerShell         |          2 |        124 |         12 |         28 |        164 |
| XML                |         10 |         99 |         23 |         10 |        132 |
| MS SQL             |          1 |         67 |         20 |         22 |        109 |
| Batch              |          2 |         53 |         32 |         24 |        109 |
| Properties         |          2 |         21 |         37 |         16 |         74 |
| JSON with Comments |          1 |         19 |          0 |          2 |         21 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |        266 |     56,703 |      1,472 |      8,810 |     66,985 |
| . (Files)                                                                                      |         77 |     33,866 |         24 |      4,501 |     38,391 |
| android                                                                                        |         16 |        306 |        161 |         82 |        549 |
| android (Files)                                                                                |          4 |        108 |         70 |         48 |        226 |
| android\app                                                                                    |         11 |        191 |         91 |         33 |        315 |
| android\app (Files)                                                                            |          1 |         92 |         68 |         23 |        183 |
| android\app\src                                                                                |         10 |         99 |         23 |         10 |        132 |
| android\app\src\debug                                                                          |          1 |          5 |          0 |          3 |          8 |
| android\app\src\debugOptimized                                                                 |          1 |          5 |          0 |          3 |          8 |
| android\app\src\main                                                                           |          8 |         89 |         23 |          4 |        116 |
| android\app\src\main (Files)                                                                   |          1 |         34 |          0 |          0 |         34 |
| android\app\src\main\res                                                                       |          7 |         55 |         23 |          4 |         82 |
| android\app\src\main\res\drawable                                                              |          2 |         18 |         23 |          3 |         44 |
| android\app\src\main\res\values                                                                |          3 |         22 |          0 |          0 |         22 |
| android\app\src\main\res\values-night                                                          |          1 |          1 |          0 |          0 |          1 |
| android\app\src\main\res\xml                                                                   |          1 |         14 |          0 |          1 |         15 |
| android\gradle                                                                                 |          1 |          7 |          0 |          1 |          8 |
| android\gradle\wrapper                                                                         |          1 |          7 |          0 |          1 |          8 |
| app                                                                                            |          2 |          0 |          0 |          2 |          2 |
| assets                                                                                         |          1 |         20 |          0 |         12 |         32 |
| backend                                                                                        |         95 |     12,300 |        642 |      3,021 |     15,963 |
| backend (Files)                                                                                |         47 |      6,803 |         88 |      1,945 |      8,836 |
| backend\prisma                                                                                 |          1 |         64 |          1 |          9 |         74 |
| backend\src                                                                                    |         47 |      5,433 |        553 |      1,067 |      7,053 |
| backend\src (Files)                                                                            |          2 |        235 |         42 |         37 |        314 |
| backend\src\config                                                                             |          4 |        150 |         18 |         32 |        200 |
| backend\src\controllers                                                                        |         10 |        785 |         77 |        186 |      1,048 |
| backend\src\lib                                                                                |          2 |        516 |         50 |        140 |        706 |
| backend\src\middleware                                                                         |          1 |        109 |         18 |         21 |        148 |
| backend\src\routes                                                                             |         13 |        627 |         81 |        138 |        846 |
| backend\src\services                                                                           |         12 |      2,711 |        240 |        459 |      3,410 |
| backend\src\utils                                                                              |          3 |        300 |         27 |         54 |        381 |
| src                                                                                            |         75 |     10,211 |        645 |      1,192 |     12,048 |
| src\components                                                                                 |          8 |        761 |         20 |         84 |        865 |
| src\config                                                                                     |          2 |         24 |         25 |         12 |         61 |
| src\data                                                                                       |          2 |        386 |          0 |         11 |        397 |
| src\navigation                                                                                 |          5 |        414 |         17 |         34 |        465 |
| src\screens                                                                                    |         32 |      6,613 |        180 |        651 |      7,444 |
| src\screens (Files)                                                                            |         20 |      4,509 |        132 |        445 |      5,086 |
| src\screens\auth                                                                               |          6 |      1,050 |         39 |        111 |      1,200 |
| src\screens\booking                                                                            |          4 |        486 |          0 |         58 |        544 |
| src\screens\chat                                                                               |          1 |        253 |          5 |         18 |        276 |
| src\screens\settings                                                                           |          1 |        315 |          4 |         19 |        338 |
| src\services                                                                                   |          1 |        278 |         66 |         54 |        398 |
| src\store                                                                                      |          9 |        772 |         69 |        139 |        980 |
| src\types                                                                                      |          2 |        363 |         66 |         70 |        499 |
| src\utils                                                                                      |         14 |        600 |        202 |        137 |        939 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                       | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\projectedit2\Gretex music Room\API_ENDPOINTS_REFERENCE.md                                   | Markdown           |        381 |          0 |         47 |        428 |
| c:\projectedit2\Gretex music Room\APK_BUILD_INSTRUCTIONS.md                                    | Markdown           |        116 |          0 |         38 |        154 |
| c:\projectedit2\Gretex music Room\APPLE_LOGIN_VERIFICATION.md                                  | Markdown           |        205 |          0 |         44 |        249 |
| c:\projectedit2\Gretex music Room\APP_JSON_UPDATE_SUMMARY.md                                   | Markdown           |        173 |          0 |         43 |        216 |
| c:\projectedit2\Gretex music Room\ASSET_REGENERATION_GUIDE.md                                  | Markdown           |         42 |          0 |         15 |         57 |
